slug,name,address,state,source,bucket,score,method,address_overlap,permit_number,permit_owner,permit_dba,global_name_score,candidate_tier,candidate_permit,candidate_owner,candidate_dba,candidate_state,candidate_city
black-harbour-distillers-inc,Black Harbour Distillers Inc.,"419 NS-329, Hubbards, NS B0J 1T0, Canada",,osm,unmatched,0,none,0,,,,75.6,review_name_candidate_70_84,WI-S-15005,"YAHARA BAY DISTILLERS, INC.",Yahara Bay Distillers,WI,FITCHBURG
tripp-distillery,Tripp Distillery,,,osm,unmatched,0,none,0,,,,71.4,review_name_candidate_70_84,CA-S-20149,"THE TRIPP DISTILLERY, LLC",,CA,PACIFICA
boatskeg-distilling-co,Boatskeg Distilling Co,"23 Chem. du Pont du Marais, Lower West Pubnico, NS B0W 2C0, Canada",,osm,unmatched,0,none,0,,,,83.7,review_name_candidate_70_84,MI-S-20145,"BLAKE FARMS HARD APPLE CIDER, LLC",Blake's Distilling Co.,MI,ARMADA
red-locks-irish-whiskey,Red Locks Irish Whiskey,,,osm,unmatched,0,none,0,,,,68.3,no_name_candidate_below_70,NY-S-20036,IRON SMOKE WHISKEY LLC,,NY,FAIRPORT
niagara-distillery,Niagara Distillery,"4915-B Clifton Hill, Niagara Falls, ON L2G 3N5, Canada",,osm,unmatched,0,none,0,,,,70.0,review_name_candidate_70_84,NY-S-20063,NIAGARA CRAFT SPIRITS LLC,,NY,CAMBRIA
true-north-distilleries,True North Distilleries,"680 Berwick Rd S #103, Qualicum Beach, BC V9K 1T3, Canada",,osm,unmatched,0,none,0,,,,77.8,review_name_candidate_70_84,ID-S-20011,"UP NORTH DISTILLERY, LLC",Up North Distillery,ID,POST FALLS
distillerie-cap-aux-peches,Distillerie Cap-aux-Péchés,"396 Rue Principale E, Rivière-à-Claude, QC G0E 1Z0, Canada",,osm,unmatched,0,none,0,,,,74.5,review_name_candidate_70_84,LA-S-20012,"DISTILLERIE ACADIAN, L.L.C.",,LA,NEW IBERIA
1832-distilling,1832 Distilling,,,osm,unmatched,0,none,0,,,,100.0,strong_name_candidate_95_plus,MO-S-20032,V AND L HOLDINGS LLC,1832 Distilling,MO,CONCORDIA
cherry-river-distillerie,Cherry River Distillerie,"120 Rue des Pins, Magog, QC J1X 1W7, Canada",,osm,unmatched,0,none,0,,,,75.6,review_name_candidate_70_84,CT-S-20035,DEEP RIVER DISTILLERS LLC,,CT,DEEP RIVER
deep-blue-distilleries,Deep Blue Distilleries,"5800 Cedarbridge Way #130, Richmond, BC V6X 2A7, Canada",,osm,unmatched,0,none,0,,,,73.7,review_name_candidate_70_84,GA-S-20117,BLUE RIDGE DISTILLERY INC.,Blue Ridge Distillery,GA,BLUE RIDGE
dubh-glas-distillery,Dubh Glas Distillery,"8486 Gallagher Lake, Frontage Road, Oliver, BC V0H 1T2, Canada",,osm,unmatched,0,none,0,,,,66.7,no_name_candidate_below_70,UT-S-20021,DUGALA DISTILLERY LLC,Eight Settlers,UT,COTTONWOOD HEIGHTS
cidrerie-pomeloi,Cidrerie Poméloi,"33 chemin du P'tit Bois Nord, Iles-de-la-Madeleine Bassin, Communauté maritime des Îles-de-la-Madeleine, QC G4T 0H1, Canada",,osm,unmatched,0,none,0,,,,61.5,no_name_candidate_below_70,MT-S-20019,"LOLO CREEK DISTILLERY, LLC",LOLO CREEK DISTILLERY,MT,LOLO
elora-distilling-company,Elora Distilling Company,"102 Metcalfe St Unit 4, Elora, ON N0B 1S0, Canada",,osm,unmatched,0,none,0,,,,87.5,high_name_candidate_85_94,CO-S-20001,LOCAL DISTILLING INC,Clean Man Products,CO,GOLDEN
the-doing-time-distillery,The Doing Time Distillery,,,osm,unmatched,0,none,0,,,,83.3,review_name_candidate_70_84,PA-S-20225,"DOING TIME, LLC",Doing Time,PA,CLEARFIELD
bomberger-s-distillery,Bomberger's Distillery,,,wikidata,unmatched,0,none,0,,,,69.6,no_name_candidate_below_70,GA-S-20035,"GREEN BOMBER, LLC",Green Bomber,GA,CARTERSVILLE
mount-rose-distillery,Mount Rose Distillery,,,wikidata,unmatched,0,none,0,,,,70.0,review_name_candidate_70_84,KY-S-47,FOUR ROSES DISTILLERY LLC,,KY,LAWRENCEBURG
ironton-distillery-and-crafthouse,Ironton Distillery and Crafthouse,,,osm,unmatched,0,none,0,,,,100.0,strong_name_candidate_95_plus,CO-S-20073,"BASECAMP CONCEPTS, LLC",Ironton Distillery and Crafthouse,CO,LOUISVILLE
lakeward-spirits-craft-distillery,Lakeward Spirits Craft Distillery,,,osm,unmatched,0,none,0,,,,69.2,no_name_candidate_below_70,CA-S-20242,"KROBAR CRAFT DISTILLERY, LLC",Krobar Craft Distillery,CA,SAN LUIS OBISPO
murlarkey-distilled-spirits,MurLarkey Distilled Spirits,,,osm,unmatched,0,none,0,,,,100.0,strong_name_candidate_95_plus,VA-S-20014,"MURLARKEY DISTILLED SPIRITS, LLC",MurLarkey's,VA,MANASSAS
independent-distilling-company,Independent Distilling Company,,,osm,unmatched,0,none,0,,,,100.0,strong_name_candidate_95_plus,GA-S-20006,"INDEPENDENT DISTILLING COMPANY, LLC",,GA,DECATUR
oligan-distilling,Oligan Distilling,,,osm,unmatched,0,none,0,,,,86.7,high_name_candidate_85_94,IA-S-20060,OG DISTILLING LLC,,IA,CARROLL
rise-spirits,Rise Spirits,,,osm,unmatched,0,none,0,,,,75.0,review_name_candidate_70_84,OH-S-20003,ERIE SPIRITS INC.,,OH,STRONGSVILLE
dayton-barrel-works,Dayton Barrel Works,,,osm,unmatched,0,none,0,,,,100.0,strong_name_candidate_95_plus,OH-S-20091,"THE DAYTON BEER COMPANY, LLC",Dayton Barrel Works,OH,DAYTON
astraluna-brands,AstraLuna Brands,,,osm,unmatched,0,none,0,,,,72.0,review_name_candidate_70_84,MA-S-20011,"ASTRALUNA, LLC",,MA,MEDFIELD
bourbon-30,Bourbon 30,,,osm,unmatched,0,none,0,,,,100.0,strong_name_candidate_95_plus,KY-S-20053,BOURBON 30 SPIRITS LLC,J. Mattingly 1845,KY,FRANKFORT
raff-distilerie,Raff Distilerie,,,osm,unmatched,0,none,0,,,,70.6,review_name_candidate_70_84,KY-S-20015,"NEW RIFF DISTILLING, LLC.",,KY,NEWPORT
four-roses-cox-s-creek-distillery,Four Roses Cox's Creek Distillery,,,osm,unmatched,0,none,0,,,,62.5,no_name_candidate_below_70,KY-S-47,FOUR ROSES DISTILLERY LLC,,KY,LAWRENCEBURG
nola-distillery,NOLA Distillery,,,osm,unmatched,0,none,0,,,,100.0,strong_name_candidate_95_plus,LA-S-20030,HS BEVERAGE INC.,NOLA-Distillery,LA,NEW ORLEANS
du-nord-craft-spirits,Du Nord Craft Spirits,,,osm,unmatched,0,none,0,,,,100.0,strong_name_candidate_95_plus,MN-S-20010,DU NORD CRAFT SPIRITS LLC,Du Nord Social Spirits,MN,MINNEAPOLIS
